iteration,tokens per expert,layer,cv,type
93,"[19, 388, 297, 43, 144, 228, 347, 192, 0, 47, 16, 2, 278, 545, 250, 267, 158, 69, 116, 47, 350, 72, 120, 85, 84, 23, 130, 493, 154, 295, 49, 50, 41, 674, 89, 26, 78, 1961, 112, 173, 104, 229, 150, 304, 54, 119, 184, 127, 791, 55, 507, 68, 136, 52, 44, 0, 140, 182, 86, 110, 2, 481, 52, 17, 40, 272, 136, 274, 786, 255, 157, 173, 155, 554, 196, 22, 207, 1569, 53, 1407, 262, 400, 30, 118, 141, 1152, 27, 275, 95, 11, 18, 187, 154, 35, 83, 133, 28, 556, 1091, 151, 201, 79, 349, 65, 21, 13, 69, 716, 186, 56, 200, 89, 59, 195, 391, 147, 52, 41, 26, 112, 42, 1706, 90, 5, 363, 190, 439, 389]",moe_l1,1.4030581963062767,max
89,"[16, 367, 320, 94, 106, 227, 404, 131, 0, 63, 17, 1, 293, 454, 280, 257, 148, 96, 133, 35, 371, 55, 105, 103, 107, 30, 125, 551, 144, 397, 57, 73, 54, 557, 211, 34, 60, 1766, 104, 236, 121, 188, 187, 309, 115, 81, 201, 176, 636, 63, 504, 124, 131, 61, 49, 0, 148, 147, 149, 118, 3, 496, 62, 22, 38, 212, 182, 224, 836, 228, 163, 114, 152, 506, 247, 24, 172, 1389, 87, 1218, 223, 403, 32, 100, 171, 1107, 22, 287, 116, 16, 17, 189, 142, 27, 90, 109, 40, 633, 1014, 191, 295, 156, 282, 68, 43, 22, 87, 622, 195, 80, 272, 48, 67, 216, 486, 178, 66, 60, 30, 148, 30, 1471, 61, 10, 471, 345, 409, 388]",moe_l1,1.262051155857004,min
49,"[32, 3, 0, 63, 87, 13, 50, 0, 18, 2, 14, 11, 105, 0, 63, 8, 314, 97, 2719, 15, 40, 311, 165, 32, 297, 57, 68, 29, 5, 8, 94, 18, 0, 35, 1555, 13, 23, 6, 33, 71, 65, 217, 1, 1, 165, 1, 71, 75, 373, 182, 1, 157, 14, 67, 0, 305, 14, 0, 0, 52, 166, 1180, 2867, 140, 20, 35, 6, 17, 120, 1581, 26, 34, 75, 55, 8, 3, 22, 179, 36, 51, 54, 565, 2, 542, 3, 125, 1, 10, 72, 43, 606, 57, 53, 38, 18, 14, 27, 160, 6, 4, 3, 1617, 16, 82, 111, 7, 89, 337, 4, 643, 21, 32, 314, 79, 1182, 69, 94, 0, 19, 46, 10, 1723, 58, 6000, 0, 146, 35, 7]",moe_l11,2.933144139353234,max
70,"[37, 3, 0, 70, 115, 7, 56, 0, 15, 6, 4, 11, 100, 0, 65, 6, 327, 127, 2584, 8, 97, 340, 181, 27, 282, 49, 108, 34, 17, 16, 114, 30, 0, 26, 1949, 9, 36, 3, 53, 103, 78, 216, 6, 3, 185, 1, 39, 75, 296, 236, 0, 149, 9, 70, 2, 300, 13, 0, 0, 90, 134, 1146, 2696, 132, 28, 51, 7, 18, 94, 1697, 35, 37, 68, 55, 17, 6, 15, 177, 29, 39, 68, 550, 2, 578, 6, 107, 1, 21, 48, 25, 678, 26, 60, 53, 23, 26, 28, 159, 3, 4, 7, 1787, 16, 98, 102, 6, 100, 364, 2, 787, 18, 36, 412, 101, 1126, 96, 88, 2, 18, 50, 13, 1461, 48, 5355, 0, 163, 12, 2]",moe_l11,2.7517014825174786,min
99,"[74, 34, 23, 19, 37, 75, 381, 118, 16, 6, 227, 38, 0, 153, 1291, 7, 134, 30, 719, 5, 234, 768, 30, 279, 0, 296, 177, 20, 45, 1, 564, 31, 174, 1, 225, 194, 1844, 145, 609, 65, 53, 679, 69, 1835, 0, 61, 49, 19, 126, 7, 2, 206, 31, 126, 123, 312, 3270, 24, 111, 136, 391, 62, 130, 186, 4, 244, 17, 1271, 0, 598, 75, 7, 11, 835, 357, 38, 117, 283, 61, 82, 0, 336, 2, 315, 97, 20, 105, 7, 21, 318, 593, 137, 1100, 5, 310, 18, 1212, 47, 23, 36, 6, 6, 229, 427, 122, 22, 22, 1, 139, 21, 48, 130, 8, 878, 95, 79, 44, 47, 359, 111, 98, 54, 42, 68, 729, 258, 144, 14]",moe_l7,1.8388543679874887,max
53,"[80, 28, 21, 13, 52, 70, 426, 128, 16, 13, 180, 34, 0, 165, 1093, 11, 175, 29, 735, 7, 251, 856, 34, 321, 0, 278, 222, 26, 42, 3, 579, 45, 251, 1, 230, 183, 1564, 177, 650, 83, 82, 739, 69, 2043, 0, 44, 84, 69, 153, 17, 0, 153, 28, 60, 94, 494, 2738, 46, 177, 179, 495, 40, 137, 282, 7, 223, 17, 1203, 0, 614, 75, 1, 12, 730, 404, 54, 147, 273, 66, 73, 0, 323, 1, 258, 66, 38, 99, 17, 28, 270, 535, 187, 1005, 2, 303, 37, 1196, 84, 37, 50, 13, 21, 187, 471, 187, 27, 19, 1, 186, 28, 20, 107, 7, 776, 81, 71, 90, 64, 250, 155, 107, 102, 35, 72, 637, 374, 151, 31]",moe_l7,1.6802454000664442,min
99,"[338, 13, 290, 27, 62, 120, 156, 38, 914, 44, 165, 28, 122, 8, 3, 6, 24, 0, 1460, 283, 70, 1190, 6, 0, 24, 74, 225, 581, 94, 727, 1, 278, 56, 262, 145, 510, 104, 35, 28, 0, 30, 19, 140, 16, 430, 0, 68, 1764, 143, 71, 43, 51, 0, 28, 2179, 270, 16, 71, 88, 22, 2030, 82, 19, 100, 190, 3, 140, 81, 0, 546, 577, 231, 4, 210, 130, 37, 54, 476, 1044, 271, 241, 113, 83, 6, 122, 103, 62, 37, 415, 37, 204, 15, 18, 61, 335, 68, 79, 1, 184, 36, 27, 51, 173, 35, 28, 110, 525, 8, 1200, 2, 1328, 197, 775, 33, 61, 167, 215, 158, 10, 226, 201, 228, 164, 958, 171, 165, 79, 300]",moe_l5,1.6706537908522188,max
89,"[424, 26, 428, 22, 82, 112, 152, 48, 822, 57, 221, 39, 80, 34, 7, 11, 30, 3, 1375, 291, 90, 1242, 13, 0, 55, 70, 264, 573, 131, 651, 2, 340, 51, 242, 172, 476, 141, 39, 26, 0, 69, 21, 182, 18, 482, 0, 65, 1536, 229, 84, 58, 77, 0, 30, 1868, 254, 15, 124, 112, 19, 1676, 132, 19, 146, 248, 15, 211, 71, 0, 660, 617, 232, 22, 241, 129, 31, 57, 506, 1028, 241, 326, 105, 92, 11, 91, 145, 67, 33, 370, 33, 146, 7, 34, 81, 382, 104, 40, 0, 173, 52, 43, 67, 118, 58, 28, 143, 459, 35, 1184, 2, 1243, 201, 684, 38, 68, 186, 202, 159, 21, 270, 272, 242, 156, 717, 219, 141, 124, 261]",moe_l5,1.4963355535737592,min
93,"[61, 45, 332, 101, 66, 188, 90, 150, 568, 27, 100, 434, 1453, 815, 750, 145, 338, 94, 16, 300, 14, 516, 120, 40, 280, 81, 363, 102, 613, 33, 207, 558, 174, 78, 136, 117, 247, 123, 220, 127, 234, 1183, 291, 131, 52, 123, 582, 269, 98, 413, 114, 1681, 131, 729, 32, 3, 117, 17, 16, 141, 65, 182, 248, 323, 21, 63, 1946, 147, 36, 0, 432, 423, 2, 66, 18, 58, 111, 108, 155, 278, 0, 522, 11, 4, 311, 119, 63, 76, 8, 36, 166, 60, 95, 103, 48, 207, 238, 15, 172, 14, 946, 73, 41, 40, 130, 309, 5, 84, 32, 14, 373, 71, 102, 184, 2591, 269, 55, 102, 0, 31, 115, 289, 14, 126, 60, 54, 350, 11]",moe_l3,1.5841397020324803,max
53,"[128, 52, 306, 202, 86, 226, 147, 265, 651, 55, 140, 457, 1200, 795, 694, 119, 360, 71, 26, 338, 18, 527, 232, 51, 265, 75, 392, 132, 383, 38, 279, 480, 188, 69, 105, 135, 284, 137, 368, 163, 222, 1011, 314, 186, 81, 172, 590, 293, 109, 420, 65, 1503, 113, 681, 36, 8, 95, 23, 1, 192, 125, 213, 318, 315, 15, 22, 1760, 132, 57, 0, 443, 502, 4, 103, 50, 48, 113, 140, 189, 339, 0, 575, 6, 5, 278, 147, 84, 155, 19, 50, 204, 79, 108, 98, 92, 213, 268, 8, 163, 13, 732, 98, 50, 49, 124, 305, 7, 74, 58, 9, 394, 33, 83, 229, 1959, 185, 69, 117, 0, 26, 121, 295, 29, 180, 91, 52, 409, 15]",moe_l3,1.3367544376835512,min
69,"[92, 8, 154, 250, 46, 128, 9, 0, 65, 213, 122, 246, 85, 20, 185, 1130, 469, 44, 0, 71, 21, 369, 274, 94, 4, 5, 52, 94, 5, 243, 869, 56, 694, 275, 83, 1683, 35, 9, 254, 202, 12, 0, 40, 0, 120, 414, 0, 99, 1132, 68, 127, 56, 8, 170, 14, 9, 95, 79, 96, 18, 60, 111, 311, 28, 202, 772, 1, 236, 38, 13, 1256, 248, 3022, 397, 353, 1545, 56, 313, 48, 115, 26, 249, 134, 36, 53, 782, 48, 91, 95, 24, 204, 5, 164, 15, 1174, 259, 66, 71, 4, 1126, 1213, 53, 1080, 84, 4, 49, 30, 140, 45, 48, 30, 165, 23, 0, 438, 94, 221, 36, 514, 242, 182, 42, 43, 29, 84, 26, 65, 54]",moe_l9,1.7714589392174276,max
53,"[110, 20, 168, 272, 46, 54, 5, 0, 71, 244, 150, 422, 104, 14, 186, 1097, 463, 44, 0, 85, 14, 403, 307, 109, 11, 0, 67, 71, 2, 270, 1057, 55, 565, 376, 84, 1290, 40, 20, 245, 156, 13, 0, 40, 0, 201, 322, 1, 119, 954, 58, 95, 102, 11, 178, 25, 29, 98, 76, 116, 29, 88, 159, 384, 19, 251, 887, 9, 268, 34, 30, 1253, 262, 2239, 361, 291, 1524, 51, 321, 33, 116, 9, 302, 87, 63, 56, 807, 67, 126, 91, 30, 261, 4, 225, 20, 1311, 247, 106, 88, 3, 1214, 1107, 74, 1184, 113, 0, 93, 25, 174, 79, 82, 26, 166, 11, 0, 346, 86, 203, 46, 590, 211, 167, 48, 66, 24, 62, 48, 56, 52]",moe_l9,1.5821632448433802,min
